city,country,year,population,gdp_per_capita_usd,life_expectancy
London,UK,2022,9648110,46510,81.2
Berlin,Germany,2022,3677472,50210,81.3
Paris,France,2022,2161000,44020,82.5
Madrid,Spain,2022,3305408,30120,83.4
Rome,Italy,2022,2873494,34060,83.6
Amsterdam,Netherlands,2022,921402,57800,82.1
Brussels,Belgium,2022,1222637,47300,81.5
Vienna,Austria,2022,1897491,53120,81.7
Stockholm,Sweden,2022,975551,55300,82.8
Oslo,Norway,2022,698660,89140,83.2
Copenhagen,Denmark,2022,794128,67440,81.6
Helsinki,Finland,2022,658864,50520,82.0
Dublin,Ireland,2022,592713,99260,82.3
Warsaw,Poland,2022,1794166,18820,78.5
Prague,Czech Republic,2022,1335084,26630,79.1
Budapest,Hungary,2022,1752704,18400,76.7
Bucharest,Romania,2022,2161347,15280,76.0
Sofia,Bulgaria,2022,1307439,12500,75.1
Zagreb,Croatia,2022,806341,17760,78.2
Athens,Greece,2022,664046,20110,82.2
Lisbon,Portugal,2022,545245,24640,82.1
Riga,Latvia,2022,605802,21060,75.8
Vilnius,Lithuania,2022,580020,23480,76.4
Tallinn,Estonia,2022,437619,26840,78.0
Ljubljana,Slovenia,2022,295504,28930,81.4
Bratislava,Slovakia,2022,477174,21300,77.5
Nicosia,Cyprus,2022,269700,29330,81.0
Valletta,Malta,2022,5828,31640,82.7
Luxembourg City,Luxembourg,2022,132780,119720,82.3
Reykjavik,Iceland,2022,131136,73960,83.1
